id,name,address.street,address.city,address.zipCode,address.county,lat,long,match_address,match_name,DAY1_OPEN,DAY1_CLOSE,DAY2_OPEN,DAY2_CLOSE,DAY3_OPEN,DAY3_CLOSE,DAY4_OPEN,DAY4_CLOSE,DAY5_OPEN,DAY5_CLOSE,DAY6_OPEN,DAY6_CLOSE,DAY0_OPEN,DAY0_CLOSE
796,Target Store T-0643,15150 Cedar Ave,Apple Valley,55121,Dakota,44.729646,-93.213719,"15150 Cedar Ave, Apple Valley, MN 55124, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8263,Target Store T-0657,2100 Paul Bunyan Dr NW,Bemidji,56601,Beltrami,47.4932655,-94.910621,"2100 Paul Bunyan Dr NW, Bemidji, MN 56601, United States",Target,800,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8170,Target Store T-0658,3301 Hwy 10 E,Moorhead,56560,Clay,46.8756935,-96.728245,"3301 US-10 E, Moorhead, MN 56560, United States",Target,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
8005,TARGET STORE T-0659,14546 DELLWOOD DR N,Baxter,56425,Crow Wing,46.3627778,-94.2416667,"14546 Dellwood Dr N, Baxter, MN 56425, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7867,TARGET STORE T-0662,8655 E POINT DOUGLAS RD S,Cottage Grove,55016,Washington,44.8147122,-92.9303535,"8655 E Point Douglas Rd S, Cottage Grove, MN 55016, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8171,Target Store T-0663,1850 Adams St,Mankato,56001,Blue Earth,44.17335,-93.9515263,"1850 Adams St, Mankato, MN 56001, United States",Target,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
794,Target Store T-0664,4175 Vinewood Ln N,Plymouth,55442,Hennepin,45.0317817,-93.4507734,"4175 Vinewood Ln N, Plymouth, MN 55442, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7860,TARGET STORE T-0693,7535 W BROADWAY AVE,Brooklyn Park,55428,Hennepin,45.0907863,-93.378514,"7535 W Broadway Ave, Brooklyn Park, MN 55428, United States",Target,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
7841,TARGET STORE T-0694,7200 VALLEY CREEK PLAZA,Woodbury,55125,Washington,44.9269386,-92.9589626,"7200 Valley Creek Plaza, Woodbury, MN 55125, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7871,TARGET STORE T-0751,975  COUNTY RD E,Vadnais Heights,55127,Ramsey,45.0526607,-93.0602101,"975 Co Rd E East, Vadnais Heights, MN 55127, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7846,TARGET STORE T-0820,8600 SPRINGBROOK DR NW,Coon Rapids,55433,Anoka,45.1272888,-93.2690741,"8600 Springbrook Dr NW, Coon Rapids, MN 55433, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8169,Target Store T-0821,4404 Hwy 29 S,Alexandria,56308,Douglas,45.8499495,-95.3905132,"4404 MN-29, Alexandria, MN 56308, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8008,TARGET STORE T-0847,1001 13TH ST S,Virginia,55792,Saint Louis,47.5110464,-92.548997,"1001 13th St S, Virginia, MN 55792, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7855,TARGET STORE T-0861,1300 HWY 55 NE,Buffalo,55313,Wright,45.164379,-93.855566,"1300 Hwy 55, Buffalo, MN 55313, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7861,TARGET STORE T-0862,851 W 78TH ST,Chanhassen,55317,Carver,44.8616317,-93.5427412,"851 W 78th St, Chanhassen, MN 55317, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7857,TARGET STORE T-0930,125 LINCOLN AVE SE,Saint Cloud,56304,Benton,45.564951,-94.145442,"125 Lincoln Ave SE, St Cloud, MN 56304, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7870,TARGET STORE T-0931,2021 Market Dr,Stillwater,55082,Washington,45.0372222,-92.8380556,"2021 Market Dr, Stillwater, MN 55082, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7847,TARGET STORE T-1095,1650 NEW BRIGHTON BLVD,Minneapolis,55413,Hennepin,45.0052147,-93.2294158,"1650 New Brighton Blvd, Minneapolis, MN 55413, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7845,TARGET STORE T-1144,3300 124TH AVE NW,Coon Rapids,55433,Anoka,45.1944473,-93.3501053,"3300 124th Ave NW, Coon Rapids, MN 55433, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
7868,TARGET STORE T-1185,2199 HWY 36,North Saint Paul,55109,Ramsey,45.0138107,-93.0097154,"2199 Hwy 36 Blvd N E, North St Paul, MN 55109, United States",Target,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100
8256,Target Store T-1211,2323 Hwy 3 S,Northfield,55057,Rice,44.4336377,-93.1863389,"2323 MN-3 S, Northfield, MN 55057, United States",Target,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100
